hisse;open;high;low;close;volume;previous close
AEFES;18.90999985;19.22999954;18.78000069;19.05999947;18756724;19.20000076
AGHOL;30.89999962;31.62000084;30.62000084;31.37999916;2145415;31.10000038
AKBNK;67.59999847;68.80000305;67.30000305;68.40000153;35004174;68.80000305
AKSA;11.5;11.60999966;11.44999981;11.53999996;4929350;11.81000042
AKSEN;84.90000153;86.09999847;84.44999695;85.25;2475846;85.75
ALARK;103;107.40000153;101.59999847;105.80000305;2991898;104.30000305
ALTNY;15.80000019;15.84000015;15.65999985;15.72000027;3927694;15.92000008
ANSGR;28.34000015;28.34000015;28.07999992;28.15999985;848299;28.73999977
ARCLK;93.5;94.05000305;93.30000305;93.69999695;352708;94.90000153
ASELS;388.5;390;381;381;10327637;388.25
ASTOR;340;343.25;329;330.75;8998850;348.5
BALSU;10.22999954;10.71000004;10.19999981;10.27999973;35453892;10.81000042
BIMAS;393.5;409.5;393;404.5;14410041;373.5
BRSAN;649;661;647;651;749243;658.5
BRYAT;1700;1711;1698;1699;8830;1709
BSOKE;34.09999847;34.20000076;33.65999985;33.79999924;333094;33.91999817
BTCIM;4.76999998;4.84000015;4.75;4.78000021;36661374;4.73999977
CANTE;1.23000002;1.24000001;1.20000005;1.21000004;65011711;1.21000004
CCOLA;80.15000153;82.30000305;79.80000305;82.05000305;2340617;81.44999695
CIMSA;45.5;45.65999985;45.24000168;45.40000153;1610833;45.68000031
CVKMD;16.80999947;16.92000008;16.42000008;16.43000031;7345788;17.29999924
CWENE;37.77999878;37.84000015;37.22000122;37.52000046;8455571;37.58000183
DAPGM;8.59000015;8.60000038;8.43000031;8.46000004;19199235;8.69999981
DOAS;173.19999695;173.19999695;170;170.30000305;469787;174.3999939
DOHOL;20.73999977;20.94000053;20.47999954;20.81999969;3316293;20.87999916
DSTKF;2006;2065;2005;2018;256621;1921
ECILC;75.84999847;76.09999847;73.94999695;74.34999847;1331617;76.40000153
EFOR;17.90999985;18.20000076;17.64999962;18.04999924;12967315;17.90999985
EKGYO;18.5;18.54999924;18.36000061;18.48999977;31194477;18.06999969
ENERY;8.78999996;8.82999992;8.71000004;8.82999992;4915567;9.06000042
ENJSA;107.80000305;110.40000153;107.30000305;109.19999695;1238736;105
ENKAI;80;80.15000153;78.5;79.59999847;13520633;84.65000153
EREGL;37.77999878;38.20000076;37.58000183;37.61999893;49521939;37.5
EUPWR;96.69999695;97.25;94.44999695;95.40000153;8321808;97.75
EUREN;3.8499999;3.86999989;3.81999993;3.81999993;4760873;3.8900001
FENER;3.08999991;3.29999995;3.07999992;3.16000009;208186871;3.07999992
FROTO;79;79.59999847;78.19999695;79.44999695;5411620;78.75
GARAN;128.1000061;130.1000061;127.80000305;129.3999939;7975799;131.19999695
GENIL;11.11999989;11.19999981;11.02999973;11.15999985;7121699;11.03999996
GESAN;83.30000305;85.65000153;82.30000305;83.69999695;11024708;85.30000305
GLRMK;177;177.1000061;173.30000305;174;1109445;181
GRSEL;338;348;335;342.25;269430;349.75
GRTHO;224.3999939;224.3999939;219.5;219.69999695;235223;227.6000061
GSRAY;1.01999998;1.10000002;1.01999998;1.08000004;494328520;1.01999998
GUBRF;445.5;445.5;428.5;428.75;994220;421
HALKB;33.77999878;34.18000031;33.59999847;33.90000153;6969886;34.13999939
HEKTS;2.80999994;2.81999993;2.76999998;2.77999997;112594644;2.79999995
ISCTR;12.35999966;12.52999973;12.32999992;12.47999954;146317927;12.52000046
