SYMBOL;O;H;L;V;C
AEFES.IS;22.10000038;22.12000084;21.47999954;31654985;21.55999947
AGHOL.IS;34.95999908;35;34;2572765;34.04000092
AKBNK.IS;66.65000153;67.09999847;66.15000153;93899265;66.59999847
AKSA.IS;11.97999954;12.14999962;11.93999958;11863749;12.02999973
AKSEN.IS;116;116.19999695;105.09999847;13494526;107
ALARK.IS;107.40000153;108.90000153;106.09999847;2129020;106.5
ALTNY.IS;17.31999969;17.37999916;16.79999924;20880396;16.92000008
ANSGR.IS;27.55999947;27.55999947;26.87999916;2397956;26.97999954
ARCLK.IS;99;101.69999695;98.80000305;1955637;99.05000305
ASELS.IS;371.5;381;370;34002405;374.25
ASTOR.IS;300;309;298.5;21988761;307
BALSU.IS;17.04000092;17.20999908;16.77000046;40312435;17.06999969
BIMAS.IS;399;401.75;391;6786695;392.5
BRSAN.IS;568;570.5;556;787250;558.5
BRYAT.IS;1814;1829;1806;22411;1815
BSOKE.IS;35.27999878;36.43999863;34.41999817;2786755;35.29999924
BTCIM.IS;5.32000017;5.32999992;5.05999994;91847361;5.23999977
CANTE.IS;1.29999995;1.32000005;1.28999996;299376430;1.29999995
CCOLA.IS;92.40000153;92.80000305;90.40000153;4675339;90.84999847
CIMSA.IS;50.45000076;51;50;5071531;50.5
CVKMD.IS;38.41999817;39.47999954;38.22000122;13620261;38.68000031
CWENE.IS;40.45999908;40.79999924;39.52000046;25966987;39.74000168
DAPGM.IS;9.98999977;10.43000031;9.85000038;120726537;9.92000008
DOAS.IS;188.30000305;193.8999939;186.8999939;1243729;187.30000305
DOHOL.IS;21.34000015;21.44000053;20.79999924;3235323;20.86000061
DSTKF.IS;2105;2108;1931;1023560;1979
ECILC.IS;73.15000153;74.55000305;72.94999695;1683518;73.05000305
EFOR.IS;17.51000023;17.97999954;17.28000069;58830920;17.61000061
EKGYO.IS;19.64999962;19.71999931;19.21999931;226352309;19.29000092
ENERY.IS;9.44999981;9.65999985;9.44999981;38404818;9.53999996
ENJSA.IS;109.90000153;111.80000305;108.69999695;3083435;108.90000153
ENKAI.IS;91.05000305;91.44999695;89.25;9406752;90
EREGL.IS;42.24000168;45.09999847;42.11999893;151995195;44.22000122
EUPWR.IS;100.69999695;101.90000153;97.44999695;14159955;98.44999695
EUREN.IS;4.17000008;4.21000004;4.13000011;24853220;4.1500001
FENER.IS;3.08999991;3.11999989;3.06999993;37211430;3.08999991
FROTO.IS;81.44999695;81.84999847;79.44999695;22246269;79.59999847
GARAN.IS;125.90000153;126.80000305;124.30000305;22245606;124.80000305
GENIL.IS;9.27000046;9.86999989;9.13000011;93796700;9.43000031
GESAN.IS;83.80000305;86.59999847;82.75;8077673;83.75
GLRMK.IS;165;171;164.30000305;5169197;164.5
GRSEL.IS;320;324.25;318.25;208548;319.5
GRTHO.IS;246;249.8999939;242.6000061;863093;245.80000305
GSRAY.IS;1.00999999;1.01999998;1;141048570;1.01999998
GUBRF.IS;430.25;436.5;427;1670653;427.5
HALKB.IS;37.31999969;37.86000061;36.56000137;37417283;36.63999939
HEKTS.IS;3.05999994;3.16000009;3.05999994;358318783;3.11999989
ISCTR.IS;13.06000042;13.11999989;12.89999962;557176756;12.97000027
ISMEN.IS;36.54000092;36.63999939;35.81999969;4786490;35.91999817
IZENR.IS;9.89999962;10.39999962;9.69999981;64600291;10.10000038
KCHOL.IS;204.69999695;205.6000061;199.1000061;12909606;200.1000061
KLRHO.IS;85;88.69999695;83.84999847;2788853;84.90000153
KONTR.IS;4.65999985;4.84000015;4.65999985;2565758;4.84000015
KRDMD.IS;41.95999908;43.88000107;41.70000076;99301468;42.25999832
