hisse;open;high;low;close;volume;previous close;close_2;close_3;close_5;close_10;high10;low10
AEFES;18.95;19.12;18.83;19.02;32180611;18.85;18.94;19.24;19.41;19.52;19.61;18.74
AGHOL;30.86;31.36;30.82;31.02;1195003;30.8;31.14;31.42;31.2;33.16;33.36;30.62
AKBNK;72.5;74.85;72.4;74.4;124387895;72;72.1;69.7;70.3;68.8;74.85;67.3
AKSA;11.01;11.11;10.99;11.09;8359929;11;11.27;11.15;11.32;11.96;12.29;10.95
AKSEN;81.65;83.05;81.35;82.9;3064199;81.3;81.4;82.6;85.6;82.3;87.7;80.9
ALARK;106;109;106;108.8;3402830;105.9;104;106.3;113.1;101.5;116.3;100.9
ALTNY;18.6;18.63;17.94;18.03;13778624;18.6;18.8;19.21;17.12;16.38;19.73;15.5
ANSGR;27.72;28.22;27.68;28.06;1486015;27.72;28.32;28.5;28.5;28.94;29.14;27.66
ARCLK;92.35;93.85;92.35;93.75;997408;92.3;92.85;92.5;92.4;97.15;96.75;92.25
ASELS;404.25;405.25;396;404;16883262;403.75;399.75;403.25;403;381;412.75;378.25
ASTOR;341;347.75;339;345;19879325;339;341.25;335.75;331.5;331.75;353;314.75
BALSU;10.68;10.73;10.59;10.63;16110367;10.66;10.79;11.4;10.74;11.1;11.81;10.12
BIMAS;419;420.25;413.5;420.25;4916455;417.5;412.25;416.5;416.5;384;420.25;373
BRSAN;723;724;710.5;716.5;1006149;722;753;690.5;679;629;759.5;622
BRYAT;1724;1735;1718;1728;26181;1724;1792;1701;1722;1741;1836;1663
BSOKE;32.88;33.2;32.48;32.78;11751867;32.88;33.42;33.5;33.32;36.38;36.72;32.48
BTCIM;4.64;4.69;4.6;4.68;17788848;4.63;4.7;4.67;4.81;4.82;4.86;4.6
CANTE;1.22;1.22;1.2;1.22;97115918;1.21;1.23;1.21;1.23;1.2;1.24;1.18
CCOLA;77.3;79.3;77.3;79.2;3010435;77.2;79.85;83.2;82;83.25;85.3;77.15
CIMSA;46.26;47.48;46.24;47.16;6938418;45.88;45.98;45.64;45.66;45.42;47.48;44.8
CVKMD;16.17;16.29;16.08;16.1;12801662;16.08;16.15;16.22;16.46;15.79;17.56;15.57
CWENE;36.94;37.12;36.5;36.64;9400563;37;35.54;36.4;37;39.9;39.68;35.26
DAPGM;8.57;8.62;8.53;8.55;19074330;8.55;8.6;8.87;8.55;8.6;9.15;8.1
DOAS;166.5;168.3;166.5;167.9;457798;166;168;169.8;169.2;194.4;180.8;166
DOHOL;21.1;21.54;21.08;21.52;5452287;21.02;21.66;21.6;21.16;21.56;21.94;20.48
DSTKF;2360;2454;2355;2414;564624;2350;2200;2150;2090;1873;2454;1869
ECILC;77.75;78.95;77.6;78.05;1544200;77.85;78.3;76.05;76.2;76;79.55;73.7
EFOR;18.9;19.26;18.44;18.49;26081779;19.25;19.8;19.9;19.9;21.42;21.86;17.3
EKGYO;20.16;21.08;20.16;20.78;102115555;20.04;20.72;19.45;19.41;18.51;21.08;18
ENERY;9.22;9.39;9.22;9.35;13518321;9.21;8.88;8.83;8.81;8.53;9.39;8.56
ENJSA;110.9;115.1;110.3;114.8;5384727;108.1;110.6;110.4;111;107;115.1;104.3
ENKAI;84;86.45;83.95;85.55;11565139;83.95;82.95;83.25;83.1;86.65;87.7;78.5
EREGL;38.38;39.3;38.26;39.08;128766285;38.24;38.18;38.14;37.76;37.18;39.3;37.18
EUPWR;95.7;99.5;95.7;97.1;10767259;95.3;93.2;93;92.85;93.6;99.5;91.95
EUREN;3.92;3.96;3.91;3.93;9208954;3.91;3.91;3.88;3.81;3.78;3.98;3.74
FENER;3.16;3.23;3.16;3.23;87614143;3.15;3.13;3.19;3.1;3.09;3.3;3.03
FROTO;78.75;80.9;78.75;80.15;14280084;78.6;80.1;80.2;79.35;79.75;81.7;78
GARAN;133.2;137.3;133.1;135.9;37800705;132.6;131.6;129.9;132;131;137.3;127.8
GENIL;11.86;12.38;11.77;12.2;21567495;11.85;11.9;12.15;11.14;11.39;12.66;10.54
GESAN;89.65;94.2;89.65;90.45;7476699;89.2;88.65;86.05;83.15;81.8;94.2;81
GLRMK;178;180.3;177.1;179.6;2334690;177;177;181;174;177;185;169.6
GRSEL;317.5;321;316.25;318.5;92304;317.5;320.75;318.5;328.5;351.25;358.5;315
GRTHO;224;227.6;222.1;225.9;327135;223.2;221.8;220;216.5;229.8;234.7;214.9
GSRAY;1.13;1.14;1.12;1.13;102501221;1.12;1.12;1.12;1.06;1.02;1.16;1.01
GUBRF;483.5;488.25;478.75;484.25;1406296;480.5;492.25;475.75;471.75;427;505;409.25
HALKB;36.3;38.12;36.26;38.12;26989703;34.66;34.54;34.2;34.34;34.48;38.12;33.6
HEKTS;2.85;2.88;2.82;2.85;178753618;2.85;2.9;2.85;2.82;2.85;2.95;2.76
ISCTR;12.53;13.39;12.53;13.17;806214979;12.48;12.59;12.39;12.53;12.56;13.39;12.33
ISMEN;32.28;33.42;32.28;33.3;6810826;32.28;32.5;32.88;32.94;33.64;34;32.04
IZENR;8.35;8.44;8.32;8.41;6983140;8.37;8.39;8.42;8.4;8.64;8.98;8.27
KCHOL;217.8;220.2;216.5;217.5;20986097;217.5;218.8;222.4;214.6;205.8;226.8;201.8
KLRHO;67.3;68.15;66.05;66.35;1658790;67.2;68.85;65.5;66.75;73.85;82.25;64.65
KONTR;3.75;3.75;3.75;3.75;2010368;3.78;3.87;3.9;3.95;3.83;4.22;3.75
KRDMD;45.04;46.2;44.78;45.94;45878377;44.9;45.2;44.98;45.78;40.94;46.88;40.36
KTLEV;61.75;62.65;60.6;61.95;32530588;62;58.6;63.5;59;52.5;66.9;48.26
KUYAS;63;63.65;62.3;63.2;1287697;62.7;65;63;62.95;67.85;67.6;60.6
MAGEN;33.02;33.18;31.52;32.44;10202341;33;34.84;34.74;35.66;32.04;36.06;31.52
MAVI;38.68;39.02;38.24;38.76;3362953;38.62;38.2;38.1;38.12;39;39.26;37.5
MGROS;557;564.5;555;561.5;1235592;555.5;565;573;573;572;578;550
