hisse;open;high;low;close;volume;previous close;close_2;close_3;close_5;close_10;high10;low10
AAPL;335.2;339;333.05;338.42;14889954;336.13;337;332.41;333.08;319.97;339;309.9
ABBV;263.07;266.6;261.23;264.61;1053135;263.96;264.02;262.51;261.77;256.46;266.6;246.77
ABT;102.27;102.9;101.84;102.78;1526688;102.61;102.23;102.36;103.09;108.33;108.39;100.33
ACN;187;193.75;184.99;187.02;4493299;181.29;190.29;189.64;195;186.72;197.63;175.49
ADI;376.1;380.44;370.97;379.61;924253;375.72;362.65;362.04;361.02;362.25;380.44;356.12
ADP;269.16;271.86;267.9;270.47;544867;271.22;272.24;273.19;276.63;277.62;278.52;264.86
AMAT;455.96;463.05;452.65;461.48;4317730;444.57;417.4;415.38;424.21;454.71;474.04;411.51
AMD;583.94;615.99;582.27;612.64;26108287;559.82;545.09;512.5;493.41;477.57;615.99;480.33
AMZN;256.52;257.9;253.6;257.86;16944766;253.71;251.19;245.96;253.54;258.51;257.99;244.3
ANET;203.47;204.69;200.76;202.75;1758191;199.39;199.53;197.54;187.81;193.78;204.91;186.11
APH;79.25;80.8;78.88;80.7;4423378;77.55;78.37;77.26;78.55;82.78;84.48;76.74
ARM;294.22;320.6;293.08;319.06;7971393;275.61;264.9;243.98;239.01;252.09;320.6;238.03
ASML;1693.46;1702.99;1677.09;1701.94;679599;1679.92;1629.67;1602.22;1575.15;1714.88;1790;1572.84
AVGO;358.86;360.96;353.5;360.8;10518955;357.61;347.3;339.51;344.72;357.9;372.7;335.81
AXP;315.18;315.31;310.77;312.59;646649;311.56;311.17;312.43;327.78;326.16;328.31;308.67
BA;200.45;202.2;198.14;201.07;3276134;198.2;197;201.96;210.27;212.25;215.29;195.46
BAC;58.05;58.16;57.47;57.96;12350604;57.73;58.18;57.9;59.47;62.68;63.83;57.18
BKNG;167.34;169.32;166.1;167.87;2053393;167.9;170.52;171.4;175.35;193.29;192;166.1
BMY;63.09;63.39;62.7;62.9;1926298;63.06;62.84;63.6;64.1;66.82;65.89;62.19
C;133.74;134.48;132.62;134.26;4265219;131.77;132.7;132.95;136.18;137.72;141.27;130.31
CAT;827;824.9;805.25;820.4;777432;808.99;798.57;782.72;784;813.94;830.5;772.86
CMCSA;22.8;23.08;22.49;23.02;9145506;22.74;22.91;23.73;24.88;26.49;26.4;22.36
COP;130.28;130.95;127.26;127.56;2114930;131.83;133.19;132.54;136.67;134.26;141.62;127.26
COST;891.07;896.88;885.5;896.18;835211;895.31;893.93;893.74;918.91;915.74;921.99;885.5
CRM;239.8;241.34;237.3;237.96;4532458;237.92;242.85;250.54;259.43;259.23;262.34;236.55
CSCO;109.83;110.5;108.83;109.56;4652973;109.51;110.24;107.74;110.06;109.2;112.22;107.36
CVS;88.73;88.91;87.19;87.73;2597481;88.84;90.27;91.72;95.55;96.74;97.98;87.19
CVX;207.89;208.95;204.64;205;3129911;209.51;211.57;211.54;212.17;208.6;217.78;204.64
